Submitter,Filename,Score (/5),Plagiarism Score,Plagiarism Level,Top Classmate Similarity,AI Generated Score,AI Generated Level,Relevance
28cse A1 B2 29 Exp01,28CSE_A1_B2_29_Exp01.pdf,2.51,0.3343,LOW,0.3343,0.2835,LOW,0.174
28cse A1 B2 24 1 Ai,28CSE_A1_B2_24_EXP_1_AI.pdf,2.48,0.3634,LOW,0.3634,0.1977,LOW,0.1897
28cse A1 B1 12 Exp01,28CSE_A1_B1_12_EXP01.pdf,2.67,0.2848,LOW,0.2848,0.2554,LOW,0.1583
A1 06 Expt01 Ai Gc,A1-06-Expt01-AI_Gc.pdf,2.66,0.3501,LOW,0.3501,0.2462,LOW,0.1522
A1 03 Exp01 Ai Gc,A1-03_Exp01_AI_GC.pdf,2.88,0.391,LOW,0.391,0.2538,LOW,0.1627
A1 B2 Practical1 A1 Gc,A1_B2_PRACTICAL1_A1_GC.pdf,3.23,0.4624,LOW,0.4624,0.2778,LOW,0.1806
A1 B1 11 Exp1 Ai Gc,A1_B1_11_Exp1_AI_GC.pdf,2.39,0.2876,LOW,0.2876,0.208,LOW,0.1024
28csea1 B1 18 Exp01 Ai Gc,28CSEA1_B1_18_Exp01_AI_GC.pdf,2.92,0.2467,LOW,0.2467,0.2544,LOW,0.1531
28cse033 Exp01 Ai Gc,28CSE033_Exp01_AI_GC.pdf,2.74,0.4114,LOW,0.4114,0.2937,LOW,0.2079
28cse025 Exp01 Ai Gc,28CSE025_Exp01_AI_GC.pdf,3.03,0.2208,LOW,0.2208,0.2828,LOW,0.1459
28cse014 Exp01 Ai Gc,28CSE014_Exp01_AI_GC.pdf,2.61,0.7393,MEDIUM,0.7393,0.2842,LOW,0.2069
28cse014 Exp01 Ai Gc 3,28CSE014_Exp01_AI_GC(3).pdf,2.41,0.9874,HIGH,0.9874,0.2271,LOW,0.1154
28cse014 Exp01 Ai Gc 2,28CSE014_Exp01_AI_GC(2).pdf,2.42,0.9874,HIGH,0.9874,0.2218,LOW,0.1154
28cse08 Exp01 Ai Gc,28CSE08_Exp01_AI_GC.pdf,3.21,0.2416,LOW,0.2416,0.2659,LOW,0.133
28cse04 Exp01 Ai Gc,28CSE04_Exp01_AI_GC.pdf,2.99,0.3937,LOW,0.3937,0.2769,LOW,0.1744
28cse002 Exp01 Ai Gc,28CSE002_Exp01_AI_GC.pdf,2.96,0.2842,LOW,0.2842,0.2742,LOW,0.1869
28cse001 Exp01 Ai Gc,28CSE001_Exp01_AI_GC.pdf,2.53,0.2396,LOW,0.2396,0.2164,LOW,0.1455
28cse001 Exp01 A1 Gc,28CSE001_Exp01_A1_GC.pdf,2.91,0.24,LOW,0.24,0.2295,LOW,0.2498
28cse Exp01 A1 B2 27 Ai,28CSE_EXP01_A1_B2_27_AI.pdf,2.52,0.8785,HIGH,0.8785,0.2585,LOW,0.1737
28cse A1 B2 30 01,28CSE_A1_B2_30_EXP_01.pdf,2.2,0.2721,LOW,0.2721,0.2287,LOW,0.1038
28cse A1 B2 27 Exp1,28CSE_A1_B2_27_EXP1.pdf,2.66,0.8785,HIGH,0.8785,0.2726,LOW,0.2116
28cse A1 B2 26 Exp01 Ai,28CSE_A1_B2_26_EXP01_AI_GC.pdf,3.17,0.5255,LOW,0.5255,0.2822,LOW,0.254
28cse A1 B2 21 Exp01,28CSE_A1_B2_21_EXP01.pdf,2.37,0.3525,LOW,0.3525,0.2788,LOW,0.2087
28cse A1 B2 20 Exp01,28CSE_A1_B2_20_Exp01.pdf,2.88,0.3516,LOW,0.3516,0.2823,LOW,0.1423
28cse A1 B2 19 Exp1,28CSE_A1_B2_19_Exp1.pdf,2.84,0.4624,LOW,0.4624,0.2835,LOW,0.2211
28cse A1 B1 17 Exp1,28CSE_A1_B1_17_EXP1.pdf,2.84,0.3501,LOW,0.3501,0.2419,LOW,0.1704
28cse A1 B1 16 Exp01,28CSE_A1_B1_16_EXP01.pdf,0.5,0.0,LOW,0.0,0.0,LOW,0.0
28cse A1 B1 15 Exp01 Ai,28CSE_A1_B1_15_exp01_AI_GC.pdf,3.0,0.35,LOW,0.35,0.2773,LOW,0.2141
28cse A1 B1 09 Exp1,28CSE_A1_B1_09_EXP1.pdf,2.99,0.2996,LOW,0.2996,0.2996,LOW,0.2611
28cse A1 B1 07 Exp01,28CSE_A1_B1_07_EXP01.pdf,3.01,0.4152,LOW,0.4152,0.2858,LOW,0.2174
28cse A1 B1 05 Exp01,28CSE_A1_B1_05_Exp01.pdf,2.53,0.5255,LOW,0.5255,0.2921,LOW,0.2633
28 Experiment01 Ai Gc,28_Experiment01_AI_GC.pdf,2.63,0.3015,LOW,0.3015,0.2255,LOW,0.1911
28 Cse 22 Exp01 Ai Gc,28_CSE_22_EXP01_AI_GC.pdf,1.86,0.3937,LOW,0.3937,0.2662,LOW,0.1843
13 Exp01 Ai Gc,13_Exp01_AI_GC.pdf,2.79,0.3733,LOW,0.3733,0.2679,LOW,0.1585
